codigo;codigo_cor;cor;quant
100001;0002;0002 - PRETO;50
100001;0003;0003 - MARINHO;40
100001;0036;0036 - OFF-WHITE;46
100001;0052;0052 - ROXO;2
100002;0002;0002 - PRETO;15
100002;0003;0003 - MARINHO;13
100002;0036;0036 - OFF-WHITE;1
100003;0002;0002 - PRETO;45
100003;0003;0003 - MARINHO;47
100003;0036;0036 - OFF-WHITE;52
100004;0002;0002 - PRETO;14
100004;0036;0036 - OFF-WHITE;13
100005;0002;0002 - PRETO;17
100005;0003;0003 - MARINHO;19
100005;0036;0036 - OFF-WHITE;11
100006;0002;0002 - PRETO;49
100006;0003;0003 - MARINHO;31
100006;0036;0036 - OFF-WHITE;53
100006;0052;0052 - ROXO;10
100006;1587;1587 - AMARELO;10
100007;0002;0002 - PRETO;28
100007;0003;0003 - MARINHO;15
100007;0036;0036 - OFF-WHITE;18
100008;0002;0002 - PRETO;60
100008;0003;0003 - MARINHO;53
100008;0036;0036 - OFF-WHITE;39
100009;0001;0001 - BRANCO;119
100009;0002;0002 - PRETO;30
100009;0003;0003 - MARINHO;32
100009;0122;0122 - AZUL;4
100010;0002;0002 - PRETO;126
100010;0003;0003 - MARINHO;115
100010;0036;0036 - OFF-WHITE;56
100010;0247;0247 - NATURAL;40
100010;1146;1146 - FENDI;15
100010;1530;1530 - BEGE;61
100011;0002;0002 - PRETO;42
100011;0036;0036 - OFF-WHITE;42
100011;1530;1530 - BEGE;41
100012;0002;0002 - PRETO;100
100013;0002;0002 - PRETO;2
100013;0003;0003 - MARINHO;4
100013;0036;0036 - OFF-WHITE;2
120000;0002;0002 - PRETO;115
120001;0002;0002 - PRETO;124
120002;0002;0002 - PRETO;175
120003;0002;0002 - PRETO;12
120003;0003;0003 - MARINHO;55
120003;1530;1530 - BEGE;45
120004;0002;0002 - PRETO;71
120004;0003;0003 - MARINHO;73
120004;1530;1530 - BEGE;38
120005;0002;0002 - PRETO;5
120005;0003;0003 - MARINHO;7
120005;0036;0036 - OFF-WHITE;30
120006;0002;0002 - PRETO;55
120006;0003;0003 - MARINHO;33
120006;1530;1530 - BEGE;57
120007;0002;0002 - PRETO;26
120007;0003;0003 - MARINHO;28
120008;0002;0002 - PRETO;26
120008;0003;0003 - MARINHO;30
120008;1530;1530 - BEGE;28
120010;0002;0002 - PRETO;41
120010;1530;1530 - BEGE;27
120011;0002;0002 - PRETO;16
120011;0036;0036 - OFF-WHITE;14
120012;0001;0001 - BRANCO;38
120012;0003;0003 - MARINHO;38
120012;0122;0122 - AZUL;43
120015;0002;0002 - PRETO;36
120015;0003;0003 - MARINHO;31
120015;1146;1146 - FENDI;28
140000;0036;0036 - OFF-WHITE;37
140000;2427;2427 - LISTRA AZUL;41
