codigo;interno;colecao;subcolecao;sigla;referencia;descricao;tipo;grupo;departamento;marca;divisao;categoria;status;grade;fornecedor;cadastro
EYV013;749;VERÃO;2011;SS11;;EYV013 -  VESTIDO PEDRO;;INTEIROS;VESTIDO;;FEMININO;;;GRADE P M GG;BONDUKI LINHAS. FIOS E CONF. LTDA.;2011-07-08
EYV022;839;VERÃO;2011;SS11;;EYV022 -  VESTIDO SUMMER;LONGO;INTEIROS;VESTIDO;;FEMININO;;;GRADE P M GG;MINAS LÃ COMÉRCIO DE FIOS LTDA.;2011-08-03
00099;188;INVERNO;2010;AW10;;00099 - 1982 SERGIO K;;;;;;;;GRADE P M GG;;2010-07-08
300081;1329;INVERNO;;;;300081 - 21 BOTÕES EVANIZADO;;TOP;TOP;;FEMININO;;;PP/P/M/G/GG;MINAS LÃ COMÉRCIO DE FIOS LTDA.;2012-02-14
320144;532;ATEMPORAL;2024;;320144;320144 - ABOTOADURAS PUPA;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
00257;237;;2010;;;00257 - ACERVO JEE;;;;;;;;UNICA;;2010-11-03
5000010;1223;INDEF - INDEFINIDO;;;;5000010 - ACERVO JEE 10.01.12;;;;;;;;UNICA;;2012-01-10
332203;22072;;;;332203;332203 - ACESSÓRIO ANEMONA;;;;;;;;UNICA;;2025-10-21
324306;21709;INDEF - INDEFINIDO;INDEF - INDEFINIDO;;;324306 - ALCOOL EM GEL ANTISSEPTICO 51 70% AUDAX QUIMICA IN;;;;INDEFINIDO - INDEFINIDO;;;;UNICA;;2025-08-28
318071;518;ATEMPORAL;2024;;318071;318071 - ANEL ANGLE;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
326113;690;INVERNO;;;326113;326113 - ANEL COPO DE LEITE;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
500006;41596;INDEF - INDEFINIDO;;;500006;500006 - ANEL FARPA;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;LUIZA MARASCHIM MILITÃO DA SILVA 44523880867;2026-07-21
330121;22099;VERÃO;2026;SS26;330121;330121 - ANEL FRISO;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2025-10-27
500002;41592;INDEF - INDEFINIDO;;;500002;500002 - ANEL HILO STATE;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;LUIZA MARASCHIM MILITÃO DA SILVA 44523880867;2026-07-21
500003;41593;INDEF - INDEFINIDO;;;500003;500003 - ANEL HILO X;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;LUIZA MARASCHIM MILITÃO DA SILVA 44523880867;2026-07-21
325130;602;VERÃO;2024;SS24;325130;325130 - ANEL IMAGO CLASSIC;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
325119;592;VERÃO;2024;SS24;325119;325119 - ANEL IMAGO CLASSIC FINO;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
325131;604;VERÃO;2024;SS24;325131;325131 - ANEL IMAGO DEFORM;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
330205;41089;VERÃO;2026;SS26;330205;330205 - ANEL LAMINA CLASSIC;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2025-12-19
320141;11442;VERÃO;;;320141PRA;320141 - ANEL MINERAL POLIDO;;ACESSÓRIOS;JOIAS;;;;;UNICA;;2024-10-21
320148;11441;VERÃO;;;320148PRA;320148 - ANEL MINERAL TEXTURA;;ACESSÓRIOS;JOIAS;;;;;UNICA;;2024-10-21
320157;536;ATEMPORAL;2024;;320157;320157 - ANEL MINERAL TEXTURA DOURADO;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
330206;41090;VERÃO;2026;SS26;330206;330206 - ANEL NUCLEA PUNCH;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2025-12-19
320130;530;ATEMPORAL;2024;;320130;320130 - ANEL PUPA;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
315226;10227;VERÃO;;;315226DOU;315226 - ANEL PÉTALA;;ACESSÓRIOS;JOIAS;;;;;UNICA;;2024-10-21
500005;41595;INDEF - INDEFINIDO;;;500005;500005 - ANEL TRIPLO HILO;ANEL;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;LUIZA MARASCHIM MILITÃO DA SILVA 44523880867;2026-07-21
213036;428;INVERNO;;;213036;213036 - ANKLE BOOT CAMURÇA;;BOTTOM;SHORT;EGREY;MASCULINO;;;39/40/41/42/43/44/45;;2024-10-15
310229;12751;INDEF - INDEFINIDO;INDEF - INDEFINIDO;;310229;310229 - ANKLE BOOT COURO;;SAPATOS;FEMININO;EGREY;FEMININO;;;34/35/36/37/38/39/40;;2024-10-24
323086ERRADO;570;VERÃO;2024;SS24;323086;323086ERRADO - ARGOLA CLICK LÂMINA P;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-15
323086;1146;INDEF - INDEFINIDO;INDEF - INDEFINIDO;;323086;323086 - ARGOLA CLICK LÂMINA P;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-19
319089;522;ATEMPORAL;2024;;319089;319089 - ARGOLA EMARANHADO;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
500009;41618;ATEMPORAL;;;500009;500009 - ARGOLA FARPA GRANDE;BRINCOS;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2026-08-12
500010;41619;ATEMPORAL;;;500010;500010 - ARGOLA FARPA PEQUENA;BRINCOS;;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2026-08-12
500008;41617;ATEMPORAL;;;500008;500008 - ARGOLA HILO MEDIA;BRINCOS;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2026-08-12
330207;41091;VERÃO;2026;SS26;330207;330207 - ARGOLA IMAGO DEFORM;BRINCOS;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;;2025-12-19
325135;608;VERÃO;2024;SS24;325135;325135 - ARGOLA IMAGO DEFORM FINA M;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
325133;606;VERÃO;2024;SS24;325133;325133 - ARGOLA IMAGO DEFORM P;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
325121;594;VERÃO;2024;SS24;325121;325121 - ARGOLA IMAGO DEFORM STATE;;ACESSÓRIOS;JOIAS;EGREY;FEMININO;;;UNICA;;2024-10-15
500004;41594;INDEF - INDEFINIDO;;;500004;500004 - ARGOLA INCIDENCE;BRINCOS;ACESSÓRIOS;JOIAS;MANECA;FEMININO;CONSIGNADO;;UNICA;LUIZA MARASCHIM MILITÃO DA SILVA 44523880867;2026-07-21
320131;11446;INDEF - INDEFINIDO;INDEF - INDEFINIDO;;320131;320131 - ARGOLA MINERAL GRANDE;;ACESSÓRIOS;JOIAS;MANECA;FEMININO;;;UNICA;;2024-10-21
320129;11445;VERÃO;;;320129PRA;320129 - ARGOLA MINERAL PEQUENA;;ACESSÓRIOS;JOIAS;;;;;UNICA;;2024-10-21
320145;11448;VERÃO;;;320145PRA;320145 - ARGOLA MÉDIA PUPA;;ACESSÓRIOS;JOIAS;;;;;UNICA;;2024-10-21
317191;10897;VERÃO;;;317191PRE;317191 - BABOUCHE COURO E TRICOT;;;CAMISA;;;;;34 AO 48;;2024-10-21
325082;12283;VERÃO;;;325082;325082 - BATA DECOTE V TRICOT;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-21
239022;41257;VERÃO;2027;SS27;239022;239022 - BATA GOLA PADRE XADREZ;;TOP;BATA;EGREY;MASCULINO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-02-23
332045;21782;INVERNO;2026;AW26;332045;332045 - BATA LEVE VELUDO;;TOP;BATA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2025-09-16
322106;11995;VERÃO;;;322106;322106 - BATA LINHO;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-21
239050;41350;VERÃO;2027;SS27;239050;239050 - BATA LINHO;;TOP;BATA;EGREY;MASCULINO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-03-17
330116;21817;ALTO VERÃO;2026;SS26;330116;330116 - BATA LISTRAS;;TOP;BATA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2025-09-17
240034;41651;INVERNO;2027;AW27;240034;240034 - BATA MALHA SEDA;;TOP;BATA;EGREY;MASCULINO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-08-18
335015;41723;INVERNO;2027;AW27;335015;335015 - BATA MALHA SEDA;;TOP;BATA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-09-02
219055;21856;INVERNO;2026;AW26;219055;219055 - BATA PIMA;;TOP;BATA;EGREY;MASCULINO;PROPRIA;;PP/P/M/G/GG;;2025-09-19
217039;21470;VERÃO;;;217039;217039 - BATA REDE TRICOT;;TOP;MASCULINO;EGREY;MASCULINO;;;PP/P/M/G/GG;;2025-04-14
301014;1445;VERÃO;;;;301014 - BATA SOLEIL;;TOP;TOP;;FEMININO;;;PP/P/M/G/GG;MINAS LÃ COMÉRCIO DE FIOS LTDA.;2012-05-08
301015;1447;VERÃO;;;;301015 - BATA SOLEIL LUREX;;TOP;TOP;;FEMININO;;;PP/P/M/G/GG;MINAS LÃ COMÉRCIO DE FIOS LTDA.;2012-05-08
239019;41254;VERÃO;2027;SS27;239019;239019 - BATA TELA TRICOT ALGODÃO;;TOP;BATA;EGREY;MASCULINO;PROPRIA;;PP/P/M/G/GG;;2026-02-23
216046;838;INVERNO;;;216046;216046 - BATA TENCEL;;TOP;MASCULINO;EGREY;MASCULINO;;;34/36/38/40/42/44/46/48;;2024-10-15
